faction_id|name|id|type|cp_cost|turn|phase|detachment|detachment_id|description|timing|effects_json
AS|PASSION OF THE PENITENT|passion-of-the-penitent-penitent-host|Penitent Host – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Penitent Host|penitent-host|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|LASH OF GUILT|lash-of-guilt-penitent-host|Penitent Host – Battle Tactic Stratagem|1|Your turn|Movement phase|Penitent Host|penitent-host|<b>WHEN:</b> Your Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|PURITY OF SUFFERING|purity-of-suffering-penitent-host|Penitent Host – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Penitent Host|penitent-host|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|FINAL REDEMPTION|final-redemption-penitent-host|Penitent Host – Epic Deed Stratagem|1|Either player's turn|Any phase|Penitent Host|penitent-host|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|BOUNDLESS ZEAL|boundless-zeal-penitent-host|Penitent Host – Strategic Ploy Stratagem|1|Your turn|Movement phase|Penitent Host|penitent-host|<b>WHEN:</b> Your Movement phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|DEVOUT FANATICISM|devout-fanaticism-penitent-host|Penitent Host – Strategic Ploy Stratagem|1|Opponent's turn|Shooting phase|Penitent Host|penitent-host|<b>WHEN:</b> Opponent's Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|RIGHTEOUS VENGEANCE|righteous-vengeance-hallowed-martyrs|Hallowed Martyrs – Battle Tactic Stratagem|1|Either player's turn|Fight phase|Hallowed Martyrs|hallowed-martyrs|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|DIVINE INTERVENTION|divine-intervention-hallowed-martyrs|Hallowed Martyrs – Epic Deed Stratagem|1|Either player's turn|Any phase|Hallowed Martyrs|hallowed-martyrs|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|SUFFERING AND SACRIFICE|suffering-and-sacrifice-hallowed-martyrs|Hallowed Martyrs – Strategic Ploy Stratagem|1|Either player's turn|Fight phase|Hallowed Martyrs|hallowed-martyrs|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|SANCTIFIED IMMOLATION|sanctified-immolation-hallowed-martyrs|Hallowed Martyrs – Strategic Ploy Stratagem|1|Either player's turn|Any phase|Hallowed Martyrs|hallowed-martyrs|<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|PRAISE THE FALLEN|praise-the-fallen-hallowed-martyrs|Hallowed Martyrs – Strategic Ploy Stratagem|1|Opponent's turn|Shooting phase|Hallowed Martyrs|hallowed-martyrs|<b>WHEN:</b> Opponent's Shooting phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|SPIRIT OF THE MARTYR|spirit-of-the-martyr-hallowed-martyrs|Hallowed Martyrs – Strategic Ploy Stratagem|2|Either player's turn|Fight phase|Hallowed Martyrs|hallowed-martyrs|<b>WHEN:</b> Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
AS|SHIELD OF AVERSION|shield-of-aversion-bringers-of-flame|Bringers of Flame – Battle Tactic Stratagem|1|Either player's turn|Shooting or Fight phase|Bringers of Flame|bringers-of-flame|<b>WHEN:</b> Shooting or Fight phase.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Official 11e effect text is not available in the 40kdc dataset.|once-per-phase|
